,日期索引,入流过程
2020/5/3,13,7957.304519
2020/5/4,13,7337.533846
2020/5/5,13,7282.477095
2020/5/6,13,7140.788571
2020/5/7,13,7242.343017
2020/5/8,13,7397.650165
2020/5/9,13,8804.14093
2020/5/10,13,9446.237699
2020/5/11,14,10716.50034
2020/5/12,14,9518.265818
2020/5/13,14,7586.342546
2020/5/14,14,8592.56131
2020/5/15,14,10253.12391
2020/5/16,14,8977.967451
2020/5/17,14,10879.11972
2020/5/18,14,9350.652099
2020/5/19,14,10490.55007
2020/5/20,14,9965.496221
2020/5/21,15,9102.089524
2020/5/22,15,9672.870787
2020/5/23,15,10605.02603
2020/5/24,15,10435.03544
2020/5/25,15,12222.5966
2020/5/26,15,13537.50812
2020/5/27,15,13656.61575
2020/5/28,15,11548.45257
2020/5/29,15,13540.24756
2020/5/30,15,15721.87856
2020/5/31,15,14971.53164
2020/6/1,16,14865.58657
2020/6/2,16,13427.28953
2020/6/3,16,15936.84085
2020/6/4,16,16380.44279
2020/6/5,16,13338.18591
2020/6/6,16,15346.23125
2020/6/7,16,13764.33523
2020/6/8,16,14768.2499
2020/6/9,16,14791.44015
2020/6/10,16,16504.96429
2020/6/11,17,14869.36243
2020/6/12,17,16071.40583
2020/6/13,17,15252.4135
2020/6/14,17,14821.28661
2020/6/15,17,16803.74098
2020/6/16,17,14088.61495
2020/6/17,17,13931.31181
2020/6/18,17,16798.05933
2020/6/19,17,16035.80692
2020/6/20,17,15534.45037
2020/6/21,18,13365.50515
2020/6/22,18,13348.64432
2020/6/23,18,18214.4748
2020/6/24,18,14768.39005
2020/6/25,18,15010.48886
2020/6/26,18,17562.37618
2020/6/27,18,16642.20452
2020/6/28,18,16149.43156
2020/6/29,18,17941.44313
2020/6/30,18,21581.78944
2020/7/1,19,15052.79646
2020/7/2,19,16259.06317
2020/7/3,19,18397.27483
2020/7/4,19,25611.18577
2020/7/5,19,20276.23029
2020/7/6,19,25576.41579
2020/7/7,19,24071.16593
2020/7/8,19,19354.26661
2020/7/9,19,27892.62995
2020/7/10,19,22774.60667
2020/7/11,20,29307.44623
2020/7/12,20,20244.7895
2020/7/13,20,28096.77313
2020/7/14,20,24022.47561
2020/7/15,20,23910.62873
2020/7/16,20,20445.07356
2020/7/17,20,23116.16316
2020/7/18,20,16375.92677
2020/7/19,20,15994.91589
2020/7/20,20,17790.88364
2020/7/21,21,24966.5239
2020/7/22,21,35329.21566
2020/7/23,21,22641.9099
2020/7/24,21,27994.30401
2020/7/25,21,18775.89293
2020/7/26,21,17143.33451
2020/7/27,21,20206.3122
2020/7/28,21,24214.37981
2020/7/29,21,23565.61881
2020/7/30,21,19866.84465
2020/7/31,21,23188.80586
2020/8/1,22,19219.29669
2020/8/2,22,22146.32762
2020/8/3,22,25462.10615
2020/8/4,22,27393.91279
2020/8/5,22,18742.8242
2020/8/6,22,18630.64926
2020/8/7,22,21672.92093
2020/8/8,22,21095.84953
2020/8/9,22,17550.52058
2020/8/10,22,16334.1825
2020/8/11,23,18025.1794
2020/8/12,23,21098.50819
2020/8/13,23,21093.72597
2020/8/14,23,21322.99759
2020/8/15,23,16758.11054
2020/8/16,23,16299.07745
2020/8/17,23,15454.76388
2020/8/18,23,18742.75526
2020/8/19,23,26119.51267
2020/8/20,23,12606.40985
2020/8/21,24,18416.78537
2020/8/22,24,24943.27956
2020/8/23,24,22698.95975
2020/8/24,24,15419.21349
2020/8/25,24,17181.29946
2020/8/26,24,19885.86405
2020/8/27,24,13993.3106
2020/8/28,24,12718.04918
2020/8/29,24,17058.04809
2020/8/30,24,13779.47488
2020/8/31,24,16163.01746
2020/9/1,25,22069.78375
2020/9/2,25,19824.13443
2020/9/3,25,21508.71849
2020/9/4,25,24809.31291
2020/9/5,25,23521.75986
2020/9/6,25,20957.36824
2020/9/7,25,17737.08632
2020/9/8,25,19055.02219
2020/9/9,25,22493.1846
2020/9/10,25,22282.98343
2020/9/11,26,21043.63416
2020/9/12,26,21991.85087
2020/9/13,26,23519.26963
2020/9/14,26,20618.41833
2020/9/15,26,20075.80888
2020/9/16,26,19824.39995
2020/9/17,26,19235.39697
2020/9/18,26,18939.93355
2020/9/19,26,23082.9995
2020/9/20,26,22518.91624
2020/9/21,27,17360.84618
2020/9/22,27,13312.77306
2020/9/23,27,11406.403
2020/9/24,27,10222.31335
2020/9/25,27,11673.05603
2020/9/26,27,13428.47761
2020/9/27,27,14696.14289
2020/9/28,27,16879.21178
2020/9/29,27,14830.35379
2020/9/30,27,14494.97089
2020/10/1,28,11044.07669
2020/10/2,28,10420.97855
2020/10/3,28,10121.36631
2020/10/4,28,8990.218585
2020/10/5,28,10267.06254
2020/10/6,28,10179.97296
2020/10/7,28,10247.93165
2020/10/8,28,10691.24021
2020/10/9,28,11650.74348
2020/10/10,28,10275.42155
2020/10/11,29,12059.16232
2020/10/12,29,14045.0248
2020/10/13,29,15280.95932
2020/10/14,29,11843.63994
2020/10/15,29,12307.48199
2020/10/16,29,10868.93369
2020/10/17,29,12891.45716
2020/10/18,29,13613.76676
2020/10/19,29,14042.92962
2020/10/20,29,11173.81593
2020/10/21,30,12891.96619
2020/10/22,30,12377.1575
2020/10/23,30,15306.51521
2020/10/24,30,12277.10576
2020/10/25,30,12751.03865
2020/10/26,30,10231.50095
2020/10/27,30,9683.961682
2020/10/28,30,10941.68762
2020/10/29,30,12617.0689
2020/10/30,30,10661.61328
2020/10/31,30,8271.26479
2020/11/1,31,8762.308568
2020/11/2,31,9444.4597
2020/11/3,31,8444.958983
2020/11/4,31,8484.755478
2020/11/5,31,7152.592735
2020/11/6,31,6537.306753
2020/11/7,31,7236.05219
2020/11/8,31,6091.176955
2020/11/9,31,5684.856899
2020/11/10,31,6990.817078
2020/11/11,32,7765.222853
2020/11/12,32,8585.769961
2020/11/13,32,6712.48206
2020/11/14,32,8085.915746
2020/11/15,32,8972.558767
2020/11/16,32,7041.635155
2020/11/17,32,8184.978589
2020/11/18,32,6783.079191
2020/11/19,32,6236.950064
2020/11/20,32,7273.986686
2020/11/21,33,5599.997361
2020/11/22,33,6315.427141
2020/11/23,33,6270.175167
2020/11/24,33,5458.715608
2020/11/25,33,4733.972684
2020/11/26,33,4288.564669
2020/11/27,33,5154.891382
2020/11/28,33,6434.44832
2020/11/29,33,6096.286526
2020/11/30,33,5113.578323
2020/12/1,34,5175.111882
2020/12/2,34,6382.865262
2020/12/3,34,7030.01779
2020/12/4,34,6668.483253
2020/12/5,34,5796.272008
2020/12/6,34,5308.935231
2020/12/7,34,5228.832189
2020/12/8,34,5925.435113
2020/12/9,34,6156.480034
2020/12/10,34,6273.485066
2020/12/11,35,4963.280943
2020/12/12,35,4050.726109
2020/12/13,35,5051.581856
2020/12/14,35,4528.055106
2020/12/15,35,5233.234698
2020/12/16,35,5022.801786
2020/12/17,35,4897.510312
2020/12/18,35,5386.292283
2020/12/19,35,4967.612344
2020/12/20,35,4604.253147
2020/12/21,36,5158.047504
2020/12/22,36,4188.201161
2020/12/23,36,4871.725304
2020/12/24,36,5045.958967
2020/12/25,36,4721.845024
2020/12/26,36,4325.34326
2020/12/27,36,4989.982591
2020/12/28,36,5335.226611
2020/12/29,36,4956.875124
2020/12/30,36,4448.408094
2020/12/31,36,5258.47286
2021/1/1,1,4118.401711
2021/1/2,1,4715.892941
2021/1/3,1,3915.117533
2021/1/4,1,3733.931127
2021/1/5,1,4613.622473
2021/1/6,1,3835.985286
2021/1/7,1,4350.424199
2021/1/8,1,4631.509549
2021/1/9,1,4580.526648
2021/1/10,1,4093.235154
2021/1/11,2,4269.972983
2021/1/12,2,4433.486472
2021/1/13,2,4187.327731
2021/1/14,2,4706.207922
2021/1/15,2,4419.09786
2021/1/16,2,4828.686733
2021/1/17,2,4442.365607
2021/1/18,2,4699.524228
2021/1/19,2,4549.915883
2021/1/20,2,4278.834065
2021/1/21,3,4413.353276
2021/1/22,3,5012.634141
2021/1/23,3,4442.805981
2021/1/24,3,4360.496829
2021/1/25,3,4620.429718
2021/1/26,3,4930.893561
2021/1/27,3,4201.69763
2021/1/28,3,4224.4462
2021/1/29,3,4449.834017
2021/1/30,3,4391.900281
2021/1/31,3,4172.944543
2021/2/1,4,5045.848054
2021/2/2,4,4189.165416
2021/2/3,4,4853.552877
2021/2/4,4,4031.961594
2021/2/5,4,4210.546304
2021/2/6,4,4876.718644
2021/2/7,4,4594.678602
2021/2/8,4,5311.899378
2021/2/9,4,4490.045919
2021/2/10,4,4506.931088
2021/2/11,5,4301.396952
2021/2/12,5,4129.52776
2021/2/13,5,4115.89013
2021/2/14,5,4100.796011
2021/2/15,5,4264.206086
2021/2/16,5,4657.414216
2021/2/17,5,4178.533593
2021/2/18,5,4597.979445
2021/2/19,5,4876.276458
2021/2/20,5,4142.235717
2021/2/21,6,4534.081059
2021/2/22,6,4736.779039
2021/2/23,6,3942.770171
2021/2/24,6,4090.870361
2021/2/25,6,3812.987273
2021/2/26,6,4310.414225
2021/2/27,6,3944.242375
2021/2/28,6,4445.723097
2021/3/1,7,4821.622149
2021/3/2,7,5098.019472
2021/3/3,7,4772.109414
2021/3/4,7,3800.791575
2021/3/5,7,4175.299984
2021/3/6,7,4887.341629
2021/3/7,7,5449.195691
2021/3/8,7,5441.020357
2021/3/9,7,4809.967136
2021/3/10,7,4840.984608
2021/3/11,8,4645.66326
2021/3/12,8,4921.280438
2021/3/13,8,5404.666432
2021/3/14,8,5230.295487
2021/3/15,8,4682.794787
2021/3/16,8,4627.455832
2021/3/17,8,5523.135104
2021/3/18,8,4443.404652
2021/3/19,8,5223.760359
2021/3/20,8,5420.885642
2021/3/21,9,6007.501016
2021/3/22,9,4594.566099
2021/3/23,9,3964.423599
2021/3/24,9,3448.988379
2021/3/25,9,4011.800254
2021/3/26,9,4818.633609
2021/3/27,9,4744.630868
2021/3/28,9,4323.700655
2021/3/29,9,4316.803319
2021/3/30,9,4327.998559
2021/3/31,9,5318.017165
2021/4/1,10,5011.241368
2021/4/2,10,5367.145717
2021/4/3,10,5538.261139
2021/4/4,10,5139.064698
2021/4/5,10,5549.979518
2021/4/6,10,5525.899908
2021/4/7,10,5047.833284
2021/4/8,10,5088.543835
2021/4/9,10,4613.291007
2021/4/10,10,5185.144399
2021/4/11,11,5847.43464
2021/4/12,11,6065.593993
2021/4/13,11,6856.638701
2021/4/14,11,5534.64379
2021/4/15,11,4880.633914
2021/4/16,11,5817.377796
2021/4/17,11,6127.354254
2021/4/18,11,5580.262001
2021/4/19,11,5693.89531
2021/4/20,11,6543.224636
2021/4/21,12,5778.003669
2021/4/22,12,4490.82191
2021/4/23,12,5206.90534
2021/4/24,12,5304.906766
2021/4/25,12,5054.461906
2021/4/26,12,5373.696401
2021/4/27,12,6234.866965
2021/4/28,12,6755.809033
2021/4/29,12,7293.1792
2021/4/30,12,7527.660276
2021/5/1,13,7905.039132
2021/5/2,13,7766.623887
2021/5/3,13,7257.377017
2021/5/4,13,8733.900646
2021/5/5,13,9290.477392
2021/5/6,13,8233.983937
2021/5/7,13,6613.340795
2021/5/8,13,7340.437929
2021/5/9,13,6453.132198
2021/5/10,13,6787.644133
2021/5/11,14,6158.807973
2021/5/12,14,7428.421358
2021/5/13,14,8656.173583
2021/5/14,14,9294.182405
2021/5/15,14,8296.637111
2021/5/16,14,9025.785124
2021/5/17,14,8054.246648
2021/5/18,14,8486.618349
2021/5/19,14,10221.05979
2021/5/20,14,11293.57099
2021/5/21,15,12070.38386
2021/5/22,15,12116.33776
2021/5/23,15,12694.16277
2021/5/24,15,12615.11747
2021/5/25,15,11862.64681
2021/5/26,15,10559.98017
2021/5/27,15,11721.71456
2021/5/28,15,10339.50791
2021/5/29,15,12283.67731
2021/5/30,15,12533.42519
2021/5/31,15,15375.49925
2021/6/1,16,13864.20243
2021/6/2,16,12731.10468
2021/6/3,16,16746.2095
2021/6/4,16,13041.76469
2021/6/5,16,13626.23313
2021/6/6,16,14000.8812
2021/6/7,16,13845.33975
2021/6/8,16,14035.83138
2021/6/9,16,13067.16899
2021/6/10,16,15619.04052
2021/6/11,17,15867.61838
2021/6/12,17,15256.28388
2021/6/13,17,15728.97559
2021/6/14,17,15529.47731
2021/6/15,17,15817.06811
2021/6/16,17,14571.82275
2021/6/17,17,17494.07401
2021/6/18,17,18100.40493
2021/6/19,17,14259.77997
2021/6/20,17,15149.63908
2021/6/21,18,13333.93393
2021/6/22,18,17971.63373
2021/6/23,18,21257.72259
2021/6/24,18,15138.28295
2021/6/25,18,13525.24216
2021/6/26,18,16015.76433
2021/6/27,18,15632.89337
2021/6/28,18,18333.24853
2021/6/29,18,20079.16235
2021/6/30,18,16574.82579
2021/7/1,19,18702.36427
2021/7/2,19,13982.9509
2021/7/3,19,20355.60332
2021/7/4,19,25027.39378
2021/7/5,19,15951.62364
2021/7/6,19,22863.47732
2021/7/7,19,18635.57464
2021/7/8,19,16963.98623
2021/7/9,19,17789.69177
2021/7/10,19,12833.5043
2021/7/11,20,19670.21498
2021/7/12,20,30091.45496
2021/7/13,20,20181.18871
2021/7/14,20,16162.10911
2021/7/15,20,18281.34695
2021/7/16,20,17771.55747
2021/7/17,20,16469.75256
2021/7/18,20,16044.35715
2021/7/19,20,13955.23909
2021/7/20,20,15817.19733
2021/7/21,21,16477.87227
2021/7/22,21,23496.16962
2021/7/23,21,25251.44054
2021/7/24,21,30932.15174
2021/7/25,21,21986.57499
2021/7/26,21,17331.98885
2021/7/27,21,18303.37616
2021/7/28,21,28032.70773
2021/7/29,21,19563.59216
2021/7/30,21,22975.3283
2021/7/31,21,21782.4585
2021/8/1,22,25139.36558
2021/8/2,22,21059.17868
2021/8/3,22,16825.50389
2021/8/4,22,13641.27905
2021/8/5,22,17651.51088
2021/8/6,22,15228.39731
2021/8/7,22,11523.90018
2021/8/8,22,17779.54049
2021/8/9,22,19441.94908
2021/8/10,22,14323.71268
2021/8/11,23,14837.25652
2021/8/12,23,12414.97803
2021/8/13,23,16539.59091
2021/8/14,23,16279.88091
2021/8/15,23,17311.70287
2021/8/16,23,20242.74742
2021/8/17,23,12840.77637
2021/8/18,23,13068.83697
2021/8/19,23,15361.28425
2021/8/20,23,21503.79814
2021/8/21,24,19241.212
2021/8/22,24,15675.48216
2021/8/23,24,13075.94846
2021/8/24,24,13953.36054
2021/8/25,24,18732.95056
2021/8/26,24,16284.23752
2021/8/27,24,21128.83025
2021/8/28,24,16423.50992
2021/8/29,24,18450.64309
2021/8/30,24,12943.78165
2021/8/31,24,19541.57027
2021/9/1,25,22026.26575
2021/9/2,25,21259.59408
2021/9/3,25,16420.26728
2021/9/4,25,18692.65368
2021/9/5,25,18443.7236
2021/9/6,25,21173.57812
2021/9/7,25,16921.18672
2021/9/8,25,18049.00973
2021/9/9,25,18029.42465
2021/9/10,25,20316.29204
2021/9/11,26,18164.13024
2021/9/12,26,16599.2719
2021/9/13,26,20009.68407
2021/9/14,26,22576.5887
2021/9/15,26,19584.44611
2021/9/16,26,15324.91536
2021/9/17,26,18068.8147
2021/9/18,26,18034.16715
2021/9/19,26,14898.62804
2021/9/20,26,16406.84869
2021/9/21,27,12966.50214
2021/9/22,27,15669.56912
2021/9/23,27,12052.62654
2021/9/24,27,11059.93843
2021/9/25,27,13399.83328
2021/9/26,27,13536.12082
2021/9/27,27,12712.00916
2021/9/28,27,15855.52669
2021/9/29,27,15795.55697
2021/9/30,27,18014.40802
2021/10/1,28,19790.17083
2021/10/2,28,16405.81317
2021/10/3,28,13639.24896
2021/10/4,28,15478.81179
2021/10/5,28,13703.22938
2021/10/6,28,13164.7884
2021/10/7,28,10610.07026
2021/10/8,28,11182.84061
2021/10/9,28,13371.72205
2021/10/10,28,13330.83074
2021/10/11,29,13233.53792
2021/10/12,29,9953.705716
2021/10/13,29,11075.69729
2021/10/14,29,9686.089616
2021/10/15,29,7423.685311
2021/10/16,29,9102.398209
2021/10/17,29,11253.6698
2021/10/18,29,8742.763104
2021/10/19,29,7077.974094
2021/10/20,29,8614.758527
2021/10/21,30,10750.62321
2021/10/22,30,12782.88829
2021/10/23,30,11322.95874
2021/10/24,30,9195.909295
2021/10/25,30,7362.36483
2021/10/26,30,8713.339542
2021/10/27,30,9586.371932
2021/10/28,30,9252.683189
2021/10/29,30,7057.254351
2021/10/30,30,6548.992636
2021/10/31,30,6095.890498
2021/11/1,31,6441.676474
2021/11/2,31,7592.056816
2021/11/3,31,6285.447889
2021/11/4,31,7274.229964
2021/11/5,31,7454.24918
2021/11/6,31,8190.663919
2021/11/7,31,6859.241503
2021/11/8,31,7793.372061
2021/11/9,31,6835.769426
2021/11/10,31,6851.056178
2021/11/11,32,7673.140299
2021/11/12,32,6360.611427
2021/11/13,32,7230.441728
2021/11/14,32,7203.211359
2021/11/15,32,7874.643189
2021/11/16,32,5911.444797
2021/11/17,32,6834.982317
2021/11/18,32,5282.824713
2021/11/19,32,6494.412897
2021/11/20,32,6512.150259
2021/11/21,33,5832.843941
2021/11/22,33,5239.029144
2021/11/23,33,4419.212533
2021/11/24,33,5445.602422
2021/11/25,33,5673.80483
2021/11/26,33,5724.336163
2021/11/27,33,6079.635478
2021/11/28,33,6498.588152
2021/11/29,33,6354.551919
2021/11/30,33,6740.058711
2021/12/1,34,5703.964577
2021/12/2,34,4955.251786
2021/12/3,34,4983.469247
2021/12/4,34,4756.826061
2021/12/5,34,5160.580115
2021/12/6,34,5844.471899
2021/12/7,34,6502.398171
2021/12/8,34,5188.242113
2021/12/9,34,5783.103782
2021/12/10,34,5089.470618
2021/12/11,35,3934.087891
2021/12/12,35,4008.469016
2021/12/13,35,4832.263267
2021/12/14,35,5206.841607
2021/12/15,35,6149.49643
2021/12/16,35,6207.086322
2021/12/17,35,5176.370733
2021/12/18,35,4596.849562
2021/12/19,35,4252.559556
2021/12/20,35,4764.48677
2021/12/21,36,4858.329971
2021/12/22,36,4552.64542
2021/12/23,36,4502.039999
2021/12/24,36,4358.612148
2021/12/25,36,4427.356308
2021/12/26,36,4769.48602
2021/12/27,36,4320.856651
2021/12/28,36,4406.09493
2021/12/29,36,4214.414828
2021/12/30,36,4304.784999
2021/12/31,36,5343.526414
2022/1/1,1,7302.43593
2022/1/2,1,6729.219315
2022/1/3,1,7499.318168
2022/1/4,1,6351.100487
2022/1/5,1,6274.061722
2022/1/6,1,5926.858421
2022/1/7,1,4835.330815
2022/1/8,1,5539.539729
2022/1/9,1,6161.217187
2022/1/10,1,5878.186665
2022/1/11,2,5372.665725
2022/1/12,2,5947.967314
2022/1/13,2,5660.576103
2022/1/14,2,5766.033022
2022/1/15,2,6314.956462
2022/1/16,2,6308.24551
2022/1/17,2,5434.625244
2022/1/18,2,5337.032201
2022/1/19,2,5568.695937
2022/1/20,2,5710.284954
2022/1/21,3,5625.596271
2022/1/22,3,6727.61956
2022/1/23,3,6984.178459
2022/1/24,3,5687.542765
2022/1/25,3,5709.24114
2022/1/26,3,5497.969674
2022/1/27,3,6387.077143
2022/1/28,3,5488.697295
2022/1/29,3,5453.085862
2022/1/30,3,5734.919461
2022/1/31,3,6445.067713
2022/2/1,4,6278.097784
2022/2/2,4,5580.49397
2022/2/3,4,5198.212679
2022/2/4,4,6018.315979
2022/2/5,4,5864.509277
2022/2/6,4,4907.401511
2022/2/7,4,5279.163132
2022/2/8,4,5188.324615
2022/2/9,4,5227.34728
2022/2/10,4,5650.09188
2022/2/11,5,6346.182071
2022/2/12,5,5723.604227
2022/2/13,5,6427.215016
2022/2/14,5,5215.267318
2022/2/15,5,5597.760672
2022/2/16,5,5468.471627
2022/2/17,5,6421.091356
2022/2/18,5,4938.763128
2022/2/19,5,5560.208842
2022/2/20,5,5755.921428
2022/2/21,6,4984.437958
2022/2/22,6,5298.86502
2022/2/23,6,5771.830413
2022/2/24,6,6430.211806
2022/2/25,6,5978.400897
2022/2/26,6,6332.336849
2022/2/27,6,6671.643256
2022/2/28,6,7356.327914
2022/3/1,7,6237.789551
2022/3/2,7,6703.413966
2022/3/3,7,5318.327967
2022/3/4,7,5126.213424
2022/3/5,7,6126.391434
2022/3/6,7,5595.881177
2022/3/7,7,6535.80953
2022/3/8,7,5571.554307
2022/3/9,7,6575.70783
2022/3/10,7,5242.43181
2022/3/11,8,5776.637598
2022/3/12,8,5175.453551
2022/3/13,8,5919.171519
2022/3/14,8,6296.304575
2022/3/15,8,6556.173341
2022/3/16,8,6368.138113
2022/3/17,8,5722.762376
2022/3/18,8,6212.953836
2022/3/19,8,6646.683813
2022/3/20,8,5921.132967
2022/3/21,9,6493.802711
2022/3/22,9,7354.250138
2022/3/23,9,6869.518467
2022/3/24,9,6957.763628
2022/3/25,9,5466.569893
2022/3/26,9,5675.895621
2022/3/27,9,4862.112693
2022/3/28,9,5623.224377
2022/3/29,9,6378.206306
2022/3/30,9,7189.172722
2022/3/31,9,8190.021869
2022/4/1,10,7535.849725
2022/4/2,10,7825.744259
2022/4/3,10,6162.797343
2022/4/4,10,7347.483837
2022/4/5,10,7262.54693
2022/4/6,10,7444.333828
2022/4/7,10,6285.099113
2022/4/8,10,5205.504609
2022/4/9,10,6134.784999
2022/4/10,10,7117.873003
2022/4/11,11,7361.532848
2022/4/12,11,7888.541931
2022/4/13,11,8816.761066
2022/4/14,11,7450.709179
2022/4/15,11,7672.782122
2022/4/16,11,6940.751792
2022/4/17,11,8030.879061
2022/4/18,11,6987.717917
2022/4/19,11,7711.355431
2022/4/20,11,8363.376584
2022/4/21,12,7244.269097
2022/4/22,12,8723.270051
2022/4/23,12,8410.925921
2022/4/24,12,9074.380733
2022/4/25,12,8378.074488
2022/4/26,12,7981.937324
2022/4/27,12,7082.362009
2022/4/28,12,7797.793176
2022/4/29,12,8205.772942
2022/4/30,12,9953.583077
2022/5/1,13,9384.564657
2022/5/2,13,8019.893875
2022/5/3,13,7917.272866
2022/5/4,13,8399.463164
2022/5/5,13,9088.437244
2022/5/6,13,10973.40002
2022/5/7,13,12804.58906
2022/5/8,13,10484.39498
2022/5/9,13,11021.16012
2022/5/10,13,10401.28068
2022/5/11,14,12209.1509
2022/5/12,14,10213.03868
2022/5/13,14,8764.305994
2022/5/14,14,10544.61449
2022/5/15,14,10838.81119
2022/5/16,14,11007.857
2022/5/17,14,13350.63194
2022/5/18,14,16473.39257
2022/5/19,14,13125.13105
2022/5/20,14,15847.98318
2022/5/21,15,11892.6864
2022/5/22,15,14793.96293
2022/5/23,15,14812.13121
2022/5/24,15,14081.76508
2022/5/25,15,16374.21806
2022/5/26,15,14986.68037
2022/5/27,15,16342.01201
2022/5/28,15,17632.3454
2022/5/29,15,18929.40895
2022/5/30,15,16089.59549
2022/5/31,15,16452.12067
2022/6/1,16,15297.35208
2022/6/2,16,22716.44881
2022/6/3,16,17389.20213
2022/6/4,16,17037.89417
2022/6/5,16,15480.92875
2022/6/6,16,17719.42414
2022/6/7,16,19451.21697
2022/6/8,16,20440.98543
2022/6/9,16,20338.37246
2022/6/10,16,19144.25651
2022/6/11,17,20085.2249
2022/6/12,17,20503.21795
2022/6/13,17,19664.07651
2022/6/14,17,14281.49128
2022/6/15,17,20579.24137
2022/6/16,17,22076.31795
2022/6/17,17,18378.56107
2022/6/18,17,18510.35091
2022/6/19,17,15439.82295
2022/6/20,17,21853.07243
2022/6/21,18,19580.20136
2022/6/22,18,25060.59655
2022/6/23,18,22323.57708
2022/6/24,18,26812.07717
2022/6/25,18,20503.75287
2022/6/26,18,19322.95947
2022/6/27,18,24013.17977
2022/6/28,18,20365.64884
2022/6/29,18,21313.06226
2022/6/30,18,23357.38612
2022/7/1,19,22441.14034
2022/7/2,19,23060.48825
2022/7/3,19,22285.54072
2022/7/4,19,30982.64491
2022/7/5,19,31454.53337
2022/7/6,19,40953.24426
2022/7/7,19,28892.43792
2022/7/8,19,38211.50144
2022/7/9,19,22635.53719
2022/7/10,19,33364.60186
2022/7/11,20,25697.36912
2022/7/12,20,25405.88564
2022/7/13,20,25230.4884
2022/7/14,20,21473.94226
2022/7/15,20,24567.02468
2022/7/16,20,22319.13819
2022/7/17,20,20805.33
2022/7/18,20,23532.8816
2022/7/19,20,26947.34983
2022/7/20,20,27009.64708
